Date,MMM,ABT,ABBV,ACN,ATVI,AYI,ADBE,AMD,AAP,AES,AET,AMG,AFL,A,APD,AKAM,ALK,ALB,ARE,ALXN,ALGN,ALLE,AGN,ADS,LNT,ALL,GOOGL,GOOG,MO,AMZN,AEE,AAL,AEP,AXP,AIG,AMT,AWK,AMP,ABC,AME,AMGN,APH,APC,ADI,ANDV,ANSS,ANTM,AON,AOS,APA,AIV,AAPL,AMAT,APTV,ADM,ARNC,AJG,AIZ,ADSK,ADP,AZO,AVB,AVY,BHGE,BLL,BAC,BK,BAX,BBT,BDX,BRK.B,BBY,BIIB,BLK,HRB,BA,BKNG,BWA,BXP,BSX,BHF,BMY,AVGO,BF.B,CHRW,CA,COG,CDNS,CPB,COF,CAH,CBOE,KMX,CAT
2017-01-03,178.05,39.05,62.41,116.46,36.64,234.19,103.48,11.43,170.6,11.66,122.84,145.79,69.77,46.49,143.4,67.57,88.0,88.05,110.58,122.63,96.96,64.7,216.19,233.01,37.93,74.17,808.01,786.14,67.63,753.67,52.38,46.3,62.76,75.35,65.12,,72.25,111.85,82.61,49.22,150.73,67.43,70.25,72.5,88.78,93.35,143.24,112.08,47.5,63.78,44.94,116.15,31.94,67.54,46.19,19.19,52.24,94.12,76.18,103.5,791.46,176.62,70.14,,37.88,22.53,47.96,44.44,46.98,165.15,163.83,42.76,291.71,386.43,22.91,156.97,,40.07,127.18,21.88,,59.45,178.34,36.06,72.85,32.29,22.34,25.34,60.64,88.87,74.48,73.01,64.82,
2017-01-04,178.32,39.36,63.29,116.74,37.36,239.93,104.14,11.43,172.0,11.56,123.98,149.41,70.41,47.1,144.65,68.33,89.18,90.7,113.38,127.11,97.77,65.93,215.56,237.78,38.16,74.37,807.77,786.9,67.85,757.18,52.44,46.7,62.85,76.26,65.97,,72.81,115.2,84.66,49.81,152.87,67.93,70.81,72.36,85.73,94.44,143.05,113.31,47.92,63.59,45.36,116.02,32.24,70.04,46.11,19.7,52.9,95.09,77.52,103.66,793.04,177.35,72.14,,38.45,22.95,48.71,44.75,47.34,164.94,164.08,43.77,294.05,386.66,23.4,158.62,,40.82,131.22,22.08,,59.14,177.07,36.46,72.99,32.81,22.37,25.57,61.06,90.3,75.63,75.88,66.76,
2017-01-05,177.71,39.7,63.77,114.99,37.94,238.67,105.91,11.24,171.88,11.41,124.51,147.58,69.95,46.54,143.22,69.55,87.76,90.39,112.97,139.18,94.82,66.29,220.83,235.82,38.11,74.03,813.02,794.02,67.93,780.45,52.7,45.89,63.19,75.32,65.6,,72.93,113.74,83.68,49.18,152.98,67.57,71.61,71.32,85.27,94.71,144.57,113.48,47.7,63.25,45.45,116.61,32.1,69.61,45.77,20.1,53.02,95.13,76.93,103.04,792.0,178.43,71.43,,38.43,22.68,48.09,45.05,46.73,164.8,163.3,42.64,293.57,382.54,23.69,158.71,,40.77,131.85,22.05,,60.13,174.28,36.22,73.74,33.08,22.64,25.66,60.93,88.38,74.5,75.09,66.38,
2017-01-06,178.23,40.78,63.79,116.3,37.91,237.36,108.3,11.32,169.63,11.82,124.26,147.25,70.19,47.99,144.36,69.79,86.98,90.81,112.21,143.61,94.08,65.89,219.08,236.32,37.8,74.15,825.21,806.15,68.23,795.99,53.1,46.21,63.14,75.47,66.81,,72.84,115.66,84.8,50.07,156.78,68.08,71.74,71.6,83.75,93.95,144.35,114.35,47.72,63.12,45.45,117.91,32.04,69.17,44.72,20.63,53.14,95.98,79.3,103.11,792.91,180.0,72.4,,38.6,22.68,48.17,45.52,47.04,167.89,163.41,42.77,295.0,384.3,24.0,159.1,,41.1,131.55,22.15,,59.95,176.59,36.05,74.15,33.19,22.89,25.65,60.7,88.6,75.33,75.5,65.4,
2017-01-09,177.27,40.74,64.21,115.0,37.7,202.51,108.57,11.49,169.53,11.53,123.18,143.43,69.52,48.14,146.31,70.0,87.47,90.48,111.05,144.77,94.79,65.42,220.1,237.59,37.28,73.09,827.18,806.65,67.95,796.92,51.99,47.08,62.31,75.86,66.38,,71.35,115.2,85.48,49.63,158.84,67.38,69.98,71.94,81.68,94.29,142.79,113.4,47.4,62.36,44.96,118.99,32.78,68.06,44.75,20.39,52.4,94.11,79.59,102.47,790.34,177.22,72.56,,37.99,22.55,47.64,46.17,46.73,168.87,162.02,43.34,299.02,380.42,23.59,158.32,,40.82,130.24,22.19,,59.73,176.97,35.8,73.16,33.25,22.09,25.72,59.75,87.44,74.76,74.53,65.19,
2017-01-10,176.58,41.29,64.07,115.06,38.38,208.94,108.26,11.44,169.92,11.33,122.67,143.27,69.43,48.1,145.26,70.28,92.0,89.88,110.85,143.67,96.13,64.5,221.25,235.26,37.24,73.75,826.01,804.79,67.72,795.9,51.97,48.48,62.12,76.65,67.2,,70.72,114.73,84.83,49.87,158.76,67.79,69.58,72.35,81.59,94.19,146.34,112.63,47.76,62.87,44.25,119.11,33.13,70.47,44.46,20.71,52.42,94.2,79.98,102.2,793.68,176.82,72.73,,37.81,22.94,47.72,46.51,46.66,170.94,161.47,43.86,297.79,380.31,23.65,159.07,,40.77,128.79,23.61,,59.98,180.57,35.66,73.14,33.01,22.17,25.77,60.01,88.98,75.22,73.68,65.68,
2017-01-11,177.89,41.08,61.14,116.12,39.2,210.32,108.99,11.2,173.43,11.77,122.63,145.22,69.86,49.25,146.01,70.12,93.8,93.3,109.61,136.66,96.0,65.7,216.24,234.6,37.75,73.94,829.86,807.91,67.65,799.02,52.2,48.64,63.18,76.91,66.95,,70.57,115.06,81.53,49.98,156.62,67.82,71.6,72.62,81.77,93.7,145.83,112.67,48.31,63.77,43.97,119.75,33.47,71.54,44.01,21.1,52.48,94.8,80.87,103.2,792.0,175.17,72.7,,38.36,23.07,48.03,46.99,46.77,173.71,162.23,43.42,287.11,380.95,23.72,159.4,,40.12,127.0,23.31,,56.8,179.42,35.48,73.44,33.0,22.06,26.11,60.15,89.14,73.72,73.94,66.89,
2017-01-12,177.44,40.72,61.28,115.78,39.13,214.98,108.59,10.76,174.47,11.58,122.64,143.58,69.57,48.52,145.84,69.93,93.26,93.75,109.31,137.35,95.55,66.12,216.24,235.67,37.65,73.68,829.53,806.36,67.51,813.64,51.96,48.1,63.29,76.88,66.25,,70.69,115.09,83.86,50.44,155.36,67.97,71.49,72.22,80.68,93.89,148.19,112.67,47.83,63.02,44.22,119.25,33.31,71.06,43.44,21.0,52.58,94.83,80.65,103.8,790.27,176.59,72.13,,38.52,22.92,47.46,46.51,46.34,173.49,161.41,44.23,287.77,378.29,23.75,158.29,,39.99,129.01,23.52,,56.55,178.86,35.34,73.44,33.06,22.27,25.94,61.57,87.89,74.19,73.83,66.81,
2017-01-13,177.39,40.93,61.99,116.95,38.95,215.18,108.53,10.58,174.79,11.72,122.31,143.53,69.64,48.69,145.35,70.02,94.32,94.0,109.55,136.93,96.01,65.5,216.14,237.55,37.49,73.89,830.94,807.88,67.58,817.14,51.97,47.65,63.23,76.62,66.35,,70.82,115.27,84.62,50.66,156.12,68.11,71.24,72.67,79.61,94.03,148.53,113.29,48.46,62.78,44.18,119.04,33.79,71.63,43.56,21.13,52.81,94.83,81.32,103.77,779.81,176.26,72.15,,38.08,23.01,47.74,46.45,46.52,173.35,161.9,43.83,284.75,379.35,23.79,158.83,,40.3,128.5,23.82,,56.22,180.45,35.17,73.38,33.09,21.92,26.07,61.72,88.85,75.0,75.02,67.17,
2017-01-17,177.26,40.9,61.86,116.03,38.95,210.75,108.0,9.82,173.0,11.91,121.04,141.39,69.88,48.32,145.34,69.79,93.41,94.35,110.52,135.3,95.34,65.87,214.78,230.0,37.75,73.85,827.46,804.61,68.48,809.72,52.55,46.75,63.81,76.6,66.06,,72.07,111.55,85.99,50.28,154.8,67.7,70.72,72.28,80.83,93.5,146.75,113.62,47.87,63.1,44.52,120.0,33.3,71.69,44.69,20.74,52.57,94.71,78.62,103.07,782.29,176.31,72.45,,38.24,22.05,46.43,46.52,45.56,173.42,159.64,44.88,283.01,374.8,23.82,157.67,,39.79,129.4,23.9,,56.28,179.11,35.57,73.56,32.8,21.71,25.8,62.09,86.37,75.18,74.76,66.47,
