Date,Open,High,Low,Close,Volume
2017-01-03,36.13,36.25,35.79,36.06,1262752
2017-01-04,36.35,36.69,36.17,36.46,1138911
2017-01-05,36.22,36.5,35.88,36.22,1002904
2017-01-06,36.02,36.18,35.92,36.05,1007794
2017-01-09,35.92,36.03,35.79,35.8,785035
2017-01-10,35.7,35.81,35.43,35.66,883628
2017-01-11,35.56,35.85,35.4,35.48,896114
2017-01-12,35.44,35.66,35.02,35.34,1266561
2017-01-13,35.33,35.34,34.98,35.17,957850
2017-01-17,35.2,35.89,35.17,35.57,1043186
2017-01-18,35.58,35.85,35.54,35.82,938704
2017-01-19,35.75,35.92,35.54,35.69,785821
2017-01-20,35.77,36.02,35.69,36.02,1149385
2017-01-23,36.09,36.43,36.06,36.36,984366
2017-01-24,36.34,36.71,36.34,36.69,950499
2017-01-25,36.71,37.07,36.62,36.83,994090
2017-01-26,36.63,36.88,36.3,36.55,1333040
2017-01-27,36.67,36.68,36.09,36.47,787209
2017-01-30,36.57,36.57,36.08,36.38,748919
2017-01-31,36.53,36.67,36.3,36.48,1343934
2017-02-01,36.29,36.46,35.8,36.01,946794
2017-02-02,36.15,36.31,36.02,36.11,865262
2017-02-03,36.18,36.8,36.18,36.56,1182574
2017-02-06,36.48,36.66,36.1,36.36,682405
2017-02-07,36.35,36.66,36.35,36.62,1036716
2017-02-08,36.51,37.02,36.5,36.95,806650
2017-02-09,36.87,37.36,36.84,37.33,686494
2017-02-10,37.21,37.71,37.16,37.57,923795
2017-02-13,37.76,37.76,37.34,37.5,973014
2017-02-14,37.36,37.84,37.17,37.7,867920
2017-02-15,37.6,38.09,37.5,38.0,773466
2017-02-16,37.95,38.31,37.75,38.26,834309
2017-02-17,38.3,38.79,38.29,38.56,1175730
2017-02-21,38.46,38.74,38.2,38.71,860791
2017-02-22,38.79,39.06,38.62,39.02,798742
2017-02-23,38.94,39.43,38.93,39.14,916400
2017-02-24,39.2,39.28,38.92,39.1,965021
2017-02-27,39.04,39.19,38.8,39.04,745428
2017-02-28,39.09,39.13,38.87,39.01,1423475
2017-03-01,39.09,39.2,38.88,39.04,1930378
2017-03-02,38.96,39.14,38.78,38.96,1259186
2017-03-03,38.88,39.23,38.76,39.16,1031734
2017-03-06,39.09,39.19,38.66,38.78,1574842
2017-03-07,38.6,38.6,37.43,37.57,2928854
2017-03-08,37.6,37.78,37.05,37.09,1768938
2017-03-09,37.1,37.2,36.9,36.97,1591339
2017-03-10,37.04,37.28,36.86,37.12,1112912
2017-03-13,37.2,37.2,36.91,36.98,1202860
2017-03-14,36.99,37.17,36.9,37.07,1107835
2017-03-15,37.07,37.51,37.07,37.45,1494062
2017-03-16,37.5,37.61,37.26,37.34,1119979
2017-03-17,37.48,37.9,37.35,37.43,2872224
2017-03-20,37.5,37.58,37.32,37.45,1066488
2017-03-21,37.62,38.06,37.62,37.82,1065060
2017-03-22,37.99,38.2,37.82,38.02,851205
2017-03-23,38.1,38.29,37.82,37.9,783036
2017-03-24,37.84,38.05,37.61,37.67,898718
2017-03-27,37.58,37.74,37.29,37.5,999688
2017-03-28,37.34,37.54,37.22,37.46,826382
2017-03-29,37.32,37.44,37.25,37.38,782300
2017-03-30,37.32,37.47,37.03,37.09,696971
2017-03-31,37.14,37.25,36.93,36.94,1274822
2017-04-03,36.98,37.25,36.62,36.7,1416376
2017-04-04,36.74,36.78,36.49,36.66,927799
2017-04-05,36.73,36.9,36.47,36.56,1068770
2017-04-06,36.54,36.78,36.46,36.53,895478
2017-04-07,36.41,36.68,36.33,36.54,987912
2017-04-10,36.65,36.88,36.48,36.78,887638
2017-04-11,36.62,36.85,36.56,36.76,837325
2017-04-12,36.7,36.99,36.66,36.76,517428
2017-04-13,36.7,36.7,36.38,36.38,658816
2017-04-17,36.51,36.75,36.42,36.74,599932
2017-04-18,36.74,37.2,36.74,37.02,846196
2017-04-19,36.97,37.27,36.93,36.98,788985
2017-04-20,37.03,37.06,36.82,36.9,815956
2017-04-21,36.78,37.04,36.74,37.01,664466
2017-04-24,37.35,37.59,37.25,37.55,896810
2017-04-25,37.44,37.94,37.44,37.86,1000202
2017-04-26,37.92,37.98,37.36,37.41,1021352
