Date,Open,High,Low,Close,Volume
16-Mar-18,154.32,157.45,153.31,156.46,10795570
15-Mar-18,153.18,155.59,151.65,154.57,5268844
14-Mar-18,154.80,155.25,151.31,152.54,4873575
13-Mar-18,156.30,157.87,153.20,153.69,4819119
12-Mar-18,158.24,159.34,153.85,154.50,4748355
9-Mar-18,155.12,158.42,154.33,158.25,4576744
8-Mar-18,151.73,153.97,150.29,153.59,4105005
7-Mar-18,150.00,152.27,148.81,151.51,5491026
6-Mar-18,152.64,154.98,151.67,153.75,5795581
5-Mar-18,145.15,151.86,144.01,151.12,8453004
2-Mar-18,149.13,149.88,145.86,146.38,9509411
1-Mar-18,153.67,156.19,148.51,150.23,9434816
28-Feb-18,161.50,162.34,154.17,154.63,7298582
27-Feb-18,163.26,164.60,161.24,161.26,4127704
26-Feb-18,163.05,164.05,161.55,163.69,6254350
23-Feb-18,159.40,162.48,159.22,162.41,4450847
22-Feb-18,156.41,159.78,156.20,158.86,4723266
21-Feb-18,155.70,158.40,155.04,155.23,4179354
20-Feb-18,155.17,158.25,154.27,155.56,5094572
16-Feb-18,160.13,161.00,156.09,156.29,5991556
15-Feb-18,159.80,160.34,157.48,159.98,4914500
14-Feb-18,152.39,158.59,152.34,158.06,5560057
13-Feb-18,151.25,155.20,151.00,153.97,5512149
12-Feb-18,151.87,153.45,150.25,152.29,5756787
9-Feb-18,148.71,150.89,142.88,149.21,9528067
8-Feb-18,153.85,154.19,145.92,145.99,9101934
7-Feb-18,155.36,158.09,154.28,154.34,7156489
6-Feb-18,148.07,156.56,146.81,156.41,13908666
5-Feb-18,154.93,158.93,142.85,151.08,11390549
2-Feb-18,160.77,160.80,156.53,157.49,7602821
1-Feb-18,161.24,163.74,160.18,162.24,4323603
31-Jan-18,164.70,165.79,161.89,162.78,7013992
30-Jan-18,160.33,164.71,159.81,163.76,8694776
29-Jan-18,165.58,165.88,159.42,162.58,9496821
26-Jan-18,168.81,169.00,164.55,167.06,9045259
25-Jan-18,173.10,173.10,162.46,169.37,16937125
24-Jan-18,171.40,172.45,167.67,168.34,8240960
23-Jan-18,172.00,172.05,169.20,169.43,5036456
22-Jan-18,170.32,170.91,168.48,170.89,3540941
19-Jan-18,169.63,170.45,168.61,170.41,5796683
18-Jan-18,169.33,170.76,168.09,168.83,4668825
17-Jan-18,169.32,170.11,168.50,168.50,5571411
16-Jan-18,172.90,173.24,167.57,169.31,8530572
12-Jan-18,169.99,170.67,169.23,170.30,4127913
11-Jan-18,166.90,169.53,165.64,169.20,4198990
10-Jan-18,165.90,167.52,164.50,165.87,5478633
9-Jan-18,166.33,167.41,165.09,166.43,4522913
8-Jan-18,164.11,166.43,162.55,166.03,5929202
5-Jan-18,160.26,162.05,159.64,161.96,3945401
4-Jan-18,157.89,159.58,157.02,159.44,4865769
3-Jan-18,157.04,157.49,155.40,157.28,4146054
2-Jan-18,158.30,159.39,156.03,157.04,5108362
29-Dec-17,158.05,158.50,157.51,157.58,2616142
28-Dec-17,157.94,158.65,157.23,158.42,4064049
27-Dec-17,156.94,157.69,156.31,157.52,2520486
26-Dec-17,156.04,156.98,155.66,156.44,1870565
22-Dec-17,154.77,155.80,153.95,155.75,2486378
21-Dec-17,152.69,155.10,151.81,154.64,4017431
20-Dec-17,151.93,152.60,150.70,152.52,3076024
19-Dec-17,149.90,151.09,148.53,150.91,3554140
18-Dec-17,147.75,149.81,146.80,149.77,3534846
15-Dec-17,147.35,147.84,145.49,146.69,7931739
14-Dec-17,148.85,149.00,145.88,146.28,4616889
13-Dec-17,144.18,149.05,144.07,148.57,6486536
12-Dec-17,143.42,144.80,143.21,143.42,3397071
11-Dec-17,144.63,144.71,143.48,143.77,1913470
8-Dec-17,143.87,144.32,142.93,143.86,2490056
7-Dec-17,139.78,143.00,139.19,142.89,2977117
6-Dec-17,140.15,141.14,139.50,140.34,2881368
5-Dec-17,141.75,142.19,139.73,140.14,3884080
4-Dec-17,144.25,145.19,141.44,141.50,4922287
1-Dec-17,141.60,142.40,138.38,141.52,5481644
30-Nov-17,138.90,141.33,137.11,141.15,7507820
29-Nov-17,138.17,139.21,137.20,138.06,3098231
28-Nov-17,137.51,139.00,137.27,138.99,2592701
27-Nov-17,137.47,138.27,136.89,137.19,2585375
24-Nov-17,138.10,138.42,137.34,137.39,944517
22-Nov-17,138.22,138.42,137.20,138.01,4887659
21-Nov-17,137.77,138.00,137.17,137.60,2221427
